,degree,in_degree,out_degree,betweenness,harmonic_closeness,pagerank,eigenvector,k_core,clustering
jorge_kato,2,2,0,0.0,2.0,0.003048852662832825,5.141418025745184e-07,1,0
joseantoniokast,4,0,4,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
jpe1210,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
jpjaramillo25,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
juanegor,2,2,0,0.0,2.0,0.0016828314294750656,5.141418025745184e-07,2,0
juanfrandelafoc,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
juangamonalh,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
kawally,2,2,0,0.0,2.0,0.0021489400259924094,5.141418025745184e-07,1,0
kebensperger,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
kikemireles,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
klbun,1,1,0,0.0,1.0,0.001235695350087691,2.62540494931669e-07,1,0
kun_mugai,1,1,0,0.0,4.833333333333333,0.0015058801402937302,0.22941688742243102,1,0
kurketo64,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
la9deSanti,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
la_grenitas,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
labeasanchez,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
lacuarta,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
laderechadiario,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
ladoblevara_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
laromadelsur,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
latercera,9,0,9,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,3,0
laubfal,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
lilialemoine,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
lore_mezza,1,1,0,0.0,1.0,0.001209031271959086,2.62540494931669e-07,1,0
lorensofie,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
lorenzocordovav,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
luis_toro_t,1,1,0,0.0,1.0,0.0012028780231601772,2.62540494931669e-07,1,0
luisingermanico,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
malenadelosrios,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
maps_black,4,0,4,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
marce0ecram,1,1,0,0.0,2.333333333333333,0.002771793314782624,2.517106995157377e-05,1,0
marcelo4ok,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
marcoporchile,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
mariancarbone,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
marianoGottig,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
marianoperez912,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
mario4thenorth,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
mario_dico50,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
martaxsad,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
marthalamartha,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
marthaperaltae,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
marthicamuvdi,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
martin197508,1,1,0,0.0,1.0,0.0012490273891519934,2.62540494931669e-07,1,0
martintetaz,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
matias_tl,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
matiasgarciard,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
matiasoberlin,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
matiastoledoh,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
maticrisis,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
matmeyer85,2,2,0,0.0,2.0,0.0015090021509058913,5.141418025745184e-07,2,0
mattsalic,2,1,1,2.523531935296641e-06,1.0,0.002088945850203048,2.62540494931669e-07,1,0
mauriciomacri,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
mauricioriveros,1,1,0,0.0,1.0,0.0011890332133626324,2.62540494931669e-07,1,0
mauroandinoe,2,2,0,0.0,2.0,0.003048852662832825,5.141418025745184e-07,1,0
mauroszeta,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
maylwino,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
mayorcete,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
